Date,Temperature (°C),Temperature max,Temperature min,Water Temperature,Precipitation / Rainfall (mm),Index
"January 01, 2020",26,30,23,27,0.5 mm | 0.0 inch.,0
"January 02, 2020",26,30,23,27,0.2 mm | 0.0 inch.,1
"January 03, 2020",27,30,23,27,0.4 mm | 0.0 inch.,2
"January 04, 2020",26,30,23,27,0.2 mm | 0.0 inch.,3
"January 05, 2020",27,30,23,27,0.2 mm | 0.0 inch.,4
"January 06, 2020",27,30,23,27,0.8 mm | 0.0 inch.,5
"January 07, 2020",27,31,23,27,0.4 mm | 0.0 inch.,6
"January 08, 2020",27,30,23,27,0.9 mm | 0.0 inch.,7
"January 09, 2020",27,30,23,27,0.3 mm | 0.0 inch.,8
"January 10, 2020",26,30,23,27,0.7 mm | 0.0 inch.,9
"January 11, 2020",26,30,23,27,0.8 mm | 0.0 inch.,10
"January 12, 2020",26,30,23,27,1.3 mm | 0.1 inch.,11
"January 13, 2020",27,31,23,27,1.1 mm | 0.0 inch.,12
"January 14, 2020",27,30,23,27,0.1 mm | 0.0 inch.,13
"January 15, 2020",27,30,23,27,1.3 mm | 0.1 inch.,14
"January 16, 2020",26,30,23,27,0.6 mm | 0.0 inch.,15
"January 17, 2020",26,30,23,27,0.1 mm | 0.0 inch.,16
"January 18, 2020",26,30,23,27,1.0 mm | 0.0 inch.,17
"January 19, 2020",27,30,23,27,0.3 mm | 0.0 inch.,18
"January 20, 2020",27,31,23,27,0.7 mm | 0.0 inch.,19
"January 21, 2020",27,30,23,27,1.7 mm | 0.1 inch.,20
"January 22, 2020",27,30,23,27,1.0 mm | 0.0 inch.,21
"January 23, 2020",26,30,23,27,0.5 mm | 0.0 inch.,22
"January 24, 2020",26,30,23,27,1.0 mm | 0.0 inch.,23
"January 25, 2020",26,30,23,27,1.7 mm | 0.1 inch.,24
"January 26, 2020",27,30,23,27,0.8 mm | 0.0 inch.,25
"January 27, 2020",26,30,23,27,0.6 mm | 0.0 inch.,26
"January 28, 2020",27,30,23,27,0.2 mm | 0.0 inch.,27
"January 29, 2020",26,30,23,27,0.1 mm | 0.0 inch.,28
"January 30, 2020",26,30,23,27,0.1 mm | 0.0 inch.,29
"January 31, 2020",27,30,23,27,0.4 mm | 0.0 inch.,30
"February 01, 2020",27,31,23,27,0.8 mm | 0.0 inch.,31
"February 02, 2020",26,30,22,27,0.3 mm | 0.0 inch.,32
"February 03, 2020",26,30,22,27,0.5 mm | 0.0 inch.,33
"February 04, 2020",26,30,22,27,0.5 mm | 0.0 inch.,34
"February 05, 2020",26,31,22,27,1.6 mm | 0.1 inch.,35
"February 06, 2020",26,30,23,26,1.3 mm | 0.1 inch.,36
"February 07, 2020",27,30,23,26,1.0 mm | 0.0 inch.,37
"February 08, 2020",27,31,23,27,0.4 mm | 0.0 inch.,38
"February 09, 2020",27,31,23,27,0.3 mm | 0.0 inch.,39
"February 10, 2020",27,31,23,27,0.2 mm | 0.0 inch.,40
"February 11, 2020",27,31,23,27,0.7 mm | 0.0 inch.,41
"February 12, 2020",27,31,23,27,0.4 mm | 0.0 inch.,42
"February 13, 2020",27,30,23,27,1.0 mm | 0.0 inch.,43
"February 14, 2020",27,31,23,27,0.2 mm | 0.0 inch.,44
"February 15, 2020",27,31,23,27,0.2 mm | 0.0 inch.,45
"February 16, 2020",27,31,23,27,0.8 mm | 0.0 inch.,46
"February 17, 2020",27,31,23,27,0.1 mm | 0.0 inch.,47
"February 18, 2020",27,31,23,27,1.1 mm | 0.0 inch.,48
"February 19, 2020",27,31,23,27,0.9 mm | 0.0 inch.,49
"February 20, 2020",27,31,23,27,1.2 mm | 0.0 inch.,50
"February 21, 2020",27,31,23,27,1.4 mm | 0.1 inch.,51
"February 22, 2020",27,32,23,27,2.0 mm | 0.1 inch.,52
"February 23, 2020",27,32,23,27,1.1 mm | 0.0 inch.,53
"February 24, 2020",27,32,23,27,0.4 mm | 0.0 inch.,54
"February 25, 2020",27,32,23,27,0.6 mm | 0.0 inch.,55
"February 26, 2020",27,31,24,27,0.7 mm | 0.0 inch.,56
"February 27, 2020",28,32,24,27,0.7 mm | 0.0 inch.,57
"February 28, 2020",28,32,24,27,0.1 mm | 0.0 inch.,58
"February 29, 2020",28,32,24,27,0.1 mm | 0.0 inch.,59
"March 01, 2020",28,32,23,27,1.0 mm | 0.0 inch.,60
"March 02, 2020",27,32,23,27,1.5 mm | 0.1 inch.,61
"March 03, 2020",28,32,24,27,1.4 mm | 0.1 inch.,62
"March 04, 2020",28,32,23,27,1.2 mm | 0.0 inch.,63
"March 05, 2020",28,32,23,27,0.4 mm | 0.0 inch.,64
"March 06, 2020",28,33,23,27,0.8 mm | 0.0 inch.,65
"March 07, 2020",28,32,24,27,1.4 mm | 0.1 inch.,66
"March 08, 2020",28,32,24,27,1.1 mm | 0.0 inch.,67
"March 09, 2020",27,32,22,27,0.5 mm | 0.0 inch.,68
"March 10, 2020",28,32,23,27,0.1 mm | 0.0 inch.,69
"March 11, 2020",28,32,23,27,0.3 mm | 0.0 inch.,70
"March 12, 2020",28,32,24,27,0.6 mm | 0.0 inch.,71
"March 13, 2020",28,33,24,27,0.7 mm | 0.0 inch.,72
"March 14, 2020",28,33,24,28,0.8 mm | 0.0 inch.,73
"March 15, 2020",28,32,24,28,0.1 mm | 0.0 inch.,74
"March 16, 2020",28,33,24,28,0.3 mm | 0.0 inch.,75
"March 17, 2020",28,33,24,28,0.4 mm | 0.0 inch.,76
"March 18, 2020",28,33,24,28,0.2 mm | 0.0 inch.,77
"March 19, 2020",28,33,24,28,0.5 mm | 0.0 inch.,78
"March 20, 2020",28,33,24,28,0.0 mm | 0.0 inch.,79
"March 21, 2020",29,33,24,28,0.9 mm | 0.0 inch.,80
"March 22, 2020",29,33,25,28,1.5 mm | 0.1 inch.,81
"March 23, 2020",29,33,24,28,0.5 mm | 0.0 inch.,82
"March 24, 2020",29,33,25,28,2.0 mm | 0.1 inch.,83
"March 25, 2020",29,33,24,28,1.0 mm | 0.0 inch.,84
"March 26, 2020",29,33,25,28,0.5 mm | 0.0 inch.,85
"March 27, 2020",29,33,25,28,0.6 mm | 0.0 inch.,86
"March 28, 2020",29,33,24,28,0.6 mm | 0.0 inch.,87
"March 29, 2020",29,33,24,28,1.4 mm | 0.1 inch.,88
"March 30, 2020",29,33,24,28,1.6 mm | 0.1 inch.,89
"March 31, 2020",29,33,24,28,1.2 mm | 0.0 inch.,90
"April 01, 2020",29,33,25,28,0.8 mm | 0.0 inch.,91
"April 02, 2020",29,34,24,28,0.1 mm | 0.0 inch.,92
"April 03, 2020",29,34,25,28,0.9 mm | 0.0 inch.,93
"April 04, 2020",29,33,25,28,1.3 mm | 0.0 inch.,94
"April 05, 2020",29,33,25,28,1.0 mm | 0.0 inch.,95
"April 06, 2020",29,33,25,28,0.4 mm | 0.0 inch.,96
"April 07, 2020",29,34,25,28,0.4 mm | 0.0 inch.,97
"April 08, 2020",29,34,25,28,0.6 mm | 0.0 inch.,98
"April 09, 2020",29,34,25,29,0.2 mm | 0.0 inch.,99
"April 10, 2020",29,34,25,29,0.4 mm | 0.0 inch.,100
"April 11, 2020",30,34,25,29,0.7 mm | 0.0 inch.,101
"April 12, 2020",30,34,25,29,0.3 mm | 0.0 inch.,102
"April 13, 2020",30,34,25,29,0.9 mm | 0.0 inch.,103
"April 14, 2020",29,34,25,29,0.6 mm | 0.0 inch.,104
"April 15, 2020",30,34,26,29,0.6 mm | 0.0 inch.,105
"April 16, 2020",30,34,25,29,0.5 mm | 0.0 inch.,106
"April 17, 2020",30,34,25,29,0.7 mm | 0.0 inch.,107
"April 18, 2020",30,34,25,29,1.0 mm | 0.0 inch.,108
"April 19, 2020",30,35,25,29,2.1 mm | 0.1 inch.,109
"April 20, 2020",30,35,25,29,1.2 mm | 0.0 inch.,110
"April 21, 2020",30,35,25,29,2.1 mm | 0.1 inch.,111
"April 22, 2020",30,34,25,29,1.4 mm | 0.1 inch.,112
"April 23, 2020",30,35,26,29,0.7 mm | 0.0 inch.,113
"April 24, 2020",30,34,25,29,0.9 mm | 0.0 inch.,114
"April 25, 2020",30,35,26,29,1.6 mm | 0.1 inch.,115
"April 26, 2020",30,35,26,29,1.8 mm | 0.1 inch.,116
"April 27, 2020",30,35,26,30,1.8 mm | 0.1 inch.,117
"April 28, 2020",30,35,26,30,1.6 mm | 0.1 inch.,118
"April 29, 2020",30,35,26,30,1.2 mm | 0.0 inch.,119
"April 30, 2020",30,35,26,30,1.5 mm | 0.1 inch,120
"May 01, 2020",30,35,26,30,1.3 mm | 0.1 inch.,121
"May 02, 2020",30,35,26,30,1.3 mm | 0.1 inch.,122
"May 03, 2020",30,35,26,30,3.1 mm | 0.1 inch.,123
"May 04, 2020",30,35,26,30,3.1 mm | 0.1 inch.,124
"May 05, 2020",30,34,25,30,1.5 mm | 0.1 inch.,125
"May 06, 2020",30,35,26,30,2.9 mm | 0.1 inch.,126
"May 07, 2020",30,34,26,30,7.0 mm | 0.3 inch.,127
"May 08, 2020",30,34,26,30,6.3 mm | 0.2 inch.,128
"May 09, 2020",30,34,26,30,4.6 mm | 0.2 inch.,129
"May 10, 2020",30,34,26,30,6.0 mm | 0.2 inch.,130
"May 11, 2020",30,34,26,30,2.5 mm | 0.1 inch.,131
"May 12, 2020",30,34,26,30,5.3 mm | 0.2 inch.,132
"May 13, 2020",30,34,26,30,2.8 mm | 0.1 inch.,133
"May 14, 2020",30,34,26,30,3.3 mm | 0.1 inch.,134
"May 15, 2020",30,34,26,30,2.6 mm | 0.1 inch.,135
"May 16, 2020",30,34,26,30,4.9 mm | 0.2 inch.,136
"May 17, 2020",30,34,26,30,6.8 mm | 0.3 inch.,137
"May 18, 2020",30,34,26,30,5.7 mm | 0.2 inch.,138
"May 19, 2020",30,34,26,30,4.0 mm | 0.2 inch.,139
"May 20, 2020",30,33,26,30,4.4 mm | 0.2 inch.,140
"May 21, 2020",29,33,26,30,6.9 mm | 0.3 inch.,141
"May 22, 2020",29,33,26,30,7.5 mm | 0.3 inch.,142
"May 23, 2020",29,33,26,30,5.7 mm | 0.2 inch.,143
"May 24, 2020",29,33,26,30,5.7 mm | 0.2 inch.,144
"May 25, 2020",29,33,26,30,7.5 mm | 0.3 inch.,145
"May 26, 2020",29,33,25,30,8.6 mm | 0.3 inch.,146
"May 27, 2020",29,33,25,30,9.5 mm | 0.4 inch.,147
"May 28, 2020",29,32,26,30,10.6 mm | 0.4 inch.,148
"May 29, 2020",29,32,25,30,6.2 mm | 0.2 inch.,149
"May 30, 2020",29,32,25,30,9.5 mm | 0.4 inch.,150
"May 31, 2020",29,33,26,30,6.3 mm | 0.2 inch,151
"June 01, 2020",29,33,26,30,5.5 mm | 0.2 inch.,152
"June 02, 2020",29,33,26,30,9.1 mm | 0.4 inch.,153
"June 03, 2020",29,32,25,30,8.5 mm | 0.3 inch.,154
"June 04, 2020",29,32,26,30,8.2 mm | 0.3 inch.,155
"June 05, 2020",29,32,26,30,9.8 mm | 0.4 inch.,156
"June 06, 2020",29,32,25,30,11.6 mm | 0.5 inch.,157
"June 07, 2020",29,32,25,30,9.8 mm | 0.4 inch.,158
"June 08, 2020",29,32,25,30,11.8 mm | 0.5 inch.,159
"June 09, 2020",29,32,25,30,12.2 mm | 0.5 inch.,160
"June 10, 2020",29,32,25,30,5.8 mm | 0.2 inch.,161
"June 11, 2020",29,32,26,30,12.9 mm | 0.5 inch.,162
"June 12, 2020",29,33,25,30,6.3 mm | 0.2 inch.,163
"June 13, 2020",29,32,25,30,9.9 mm | 0.4 inch.,164
"June 14, 2020",29,33,25,30,6.8 mm | 0.3 inch.,165
"June 15, 2020",29,33,26,30,8.6 mm | 0.3 inch.,166
"June 16, 2020",29,33,25,30,8.8 mm | 0.3 inch.,167
"June 17, 2020",29,32,25,30,12.1 mm | 0.5 inch.,168
"June 18, 2020",29,32,25,30,9.7 mm | 0.4 inch.,169
"June 19, 2020",29,32,25,30,9.7 mm | 0.4 inch.,170
"June 20, 2020",29,32,25,30,7.4 mm | 0.3 inch.,171
"June 21, 2020",29,32,25,30,12.0 mm | 0.5 inch.,172
"June 22, 2020",28,31,25,30,13.0 mm | 0.5 inch.,173
"June 23, 2020",28,32,25,30,12.5 mm | 0.5 inch.,174
"June 24, 2020",28,32,25,30,14.1 mm | 0.6 inch.,175
"June 25, 2020",29,32,25,30,8.4 mm | 0.3 inch.,176
"June 26, 2020",28,32,25,30,9.5 mm | 0.4 inch.,177
"June 27, 2020",28,32,25,30,6.5 mm | 0.3 inch.,178
"June 28, 2020",29,32,25,30,7.5 mm | 0.3 inch.,179
"June 29, 2020",29,32,25,30,9.6 mm | 0.4 inch.,180
"June 30, 2020",28,32,25,30,6.0 mm | 0.2 inch.,181
"July 01, 2020",29,33,25,30,4.8 mm | 0.2 inch.,182
"July 02, 2020",29,32,25,30,7.2 mm | 0.3 inch.,183
"July 03, 2020",28,31,25,30,12.3 mm | 0.5 inch.,184
"July 04, 2020",28,31,25,30,10.3 mm | 0.4 inch.,185
"July 05, 2020",28,31,25,30,22.1 mm | 0.9 inch.,186
"July 06, 2020",28,31,25,30,14.6 mm | 0.6 inch.,187
"July 07, 2020",28,31,25,30,15.9 mm | 0.6 inch.,188
"July 08, 2020",28,31,25,30,16.4 mm | 0.6 inch.,189
"July 09, 2020",28,31,25,30,15.2 mm | 0.6 inch.,190
"July 10, 2020",28,31,25,30,11.2 mm | 0.4 inch.,191
"July 11, 2020",28,31,25,30,9.2 mm | 0.4 inch.,192
"July 12, 2020",28,31,25,30,16.2 mm | 0.6 inch.,193
"July 13, 2020",28,31,25,30,19.2 mm | 0.8 inch.,194
"July 14, 2020",28,31,25,30,12.8 mm | 0.5 inch.,195
"July 15, 2020",28,32,25,30,10.7 mm | 0.4 inch.,196
"July 16, 2020",28,31,25,30,16.1 mm | 0.6 inch.,197
"July 17, 2020",28,32,25,30,15.5 mm | 0.6 inch.,198
"July 18, 2020",28,31,25,29,8.9 mm | 0.4 inch.,199
"July 19, 2020",28,31,25,29,15.5 mm | 0.6 inch.,200
"July 20, 2020",28,31,25,29,15.1 mm | 0.6 inch.,201
"July 21, 2020",28,31,25,29,16.0 mm | 0.6 inch.,202
"July 22, 2020",28,31,25,29,21.7 mm | 0.9 inch.,203
"July 23, 2020",28,31,25,29,13.3 mm | 0.5 inch.,204
"July 24, 2020",28,31,25,29,16.1 mm | 0.6 inch.,205
"July 25, 2020",27,30,24,29,14.4 mm | 0.6 inch.,206
"July 26, 2020",28,31,25,29,17.9 mm | 0.7 inch.,207
"July 27, 2020",28,31,25,29,18.2 mm | 0.7 inch.,208
"July 28, 2020",28,31,25,29,12.4 mm | 0.5 inch.,209
"July 29, 2020",28,31,25,29,14.3 mm | 0.6 inch.,210
"July 30, 2020",28,31,25,29,10.7 mm | 0.4 inch.,211
"July 31, 2020",28,31,25,29,15.3 mm | 0.6 inch.,212
"August 01, 2020",28,30,25,29,19.0 mm | 0.7 inch.,213
"August 02, 2020",28,31,25,29,21.2 mm | 0.8 inch.,214
"August 03, 2020",28,31,25,29,17.4 mm | 0.7 inch.,215
"August 04, 2020",28,31,25,29,16.1 mm | 0.6 inch.,216
"August 05, 2020",28,30,25,29,21.2 mm | 0.8 inch.,217
"August 06, 2020",27,30,25,29,28.9 mm | 1.1 inch.,218
"August 07, 2020",28,30,25,29,25.3 mm | 1.0 inch.,219
"August 08, 2020",27,30,25,29,22.5 mm | 0.9 inch.,220
"August 09, 2020",28,30,25,29,12.8 mm | 0.5 inch.,221
"August 10, 2020",28,31,25,29,6.9 mm | 0.3 inch.,222
"August 11, 2020",28,31,25,29,14.9 mm | 0.6 inch.,223
"August 12, 2020",28,30,25,29,18.1 mm | 0.7 inch.,224
"August 13, 2020",28,30,25,29,14.0 mm | 0.6 inch.,225
"August 14, 2020",28,31,25,29,14.6 mm | 0.6 inch.,226
"August 15, 2020",28,31,25,29,13.4 mm | 0.5 inch.,227
"August 16, 2020",28,31,25,29,10.2 mm | 0.4 inch.,228
"August 17, 2020",28,31,25,29,18.2 mm | 0.7 inch.,229
"August 18, 2020",28,30,25,29,19.3 mm | 0.8 inch.,230
"August 19, 2020",28,30,25,29,25.1 mm | 1.0 inch.,231
"August 20, 2020",27,30,25,29,21.0 mm | 0.8 inch.,232
"August 21, 2020",28,30,25,29,17.8 mm | 0.7 inch.,233
"August 22, 2020",28,31,25,29,10.3 mm | 0.4 inch.,234
"August 23, 2020",28,31,25,29,12.1 mm | 0.5 inch.,235
"August 24, 2020",28,31,25,29,15.2 mm | 0.6 inch.,236
"August 25, 2020",28,31,25,29,15.3 mm | 0.6 inch.,237
"August 26, 2020",28,30,25,29,16.7 mm | 0.7 inch.,238
"August 27, 2020",28,30,25,29,11.2 mm | 0.4 inch.,239
"August 28, 2020",28,31,25,29,11.6 mm | 0.5 inch.,240
"August 29, 2020",28,31,25,29,9.9 mm | 0.4 inch.,241
"August 30, 2020",28,31,25,29,7.0 mm | 0.3 inch.,242
"August 31, 2020",28,31,25,29,,243
"September 01, 2020",28,31,25,30,12.9 mm | 0.5 inch.,244
"September 02, 2020",28,31,25,29,15.8 mm | 0.6 inch.,245
"September 03, 2020",28,31,25,29,12.5 mm | 0.5 inch.,246
"September 04, 2020",28,31,25,29,13.6 mm | 0.5 inch.,247
"September 05, 2020",28,31,25,29,10.6 mm | 0.4 inch.,248
"September 06, 2020",28,31,25,29,9.3 mm | 0.4 inch.,249
"September 07, 2020",28,31,25,29,8.6 mm | 0.3 inch.,250
"September 08, 2020",28,32,25,29,13.9 mm | 0.5 inch.,251
"September 09, 2020",28,31,25,29,11.4 mm | 0.4 inch.,252
"September 10, 2020",28,31,25,29,17.9 mm | 0.7 inch.,253
