Date,Temperature (°C),Temperature max,Temperature min,Water Temperature,Precipitation / Rainfall (mm),Index
"January 01, 2020",29,,,,0.5 mm | 0.0 inch.,0
"January 02, 2020",29,,,,0.2 mm | 0.0 inch.,1
"January 03, 2020",29,,,,0.4 mm | 0.0 inch.,2
"January 04, 2020",29,,,,0.2 mm | 0.0 inch.,3
"January 05, 2020",29,,,,0.2 mm | 0.0 inch.,4
"January 06, 2020",29,,,,0.8 mm | 0.0 inch.,5
"January 07, 2020",28,,,,0.4 mm | 0.0 inch.,6
"January 08, 2020",29,,,,0.9 mm | 0.0 inch.,7
"January 09, 2020",29,,,,0.3 mm | 0.0 inch.,8
"January 10, 2020",29,,,,0.7 mm | 0.0 inch.,9
"January 11, 2020",29,,,,0.8 mm | 0.0 inch.,10
"January 12, 2020",29,,,,1.3 mm | 0.1 inch.,11
"January 13, 2020",29,,,,1.1 mm | 0.0 inch.,12
"January 14, 2020",28,,,,0.1 mm | 0.0 inch.,13
"January 15, 2020",29,,,,1.3 mm | 0.1 inch.,14
"January 16, 2020",28,,,,0.6 mm | 0.0 inch.,15
"January 17, 2020",28,,,,0.1 mm | 0.0 inch.,16
"January 18, 2020",28,,,,1.0 mm | 0.0 inch.,17
"January 19, 2020",28,,,,0.3 mm | 0.0 inch.,18
"January 20, 2020",28,,,,0.7 mm | 0.0 inch.,19
"January 21, 2020",28,,,,1.7 mm | 0.1 inch.,20
"January 22, 2020",28,,,,1.0 mm | 0.0 inch.,21
"January 23, 2020",29,,,,0.5 mm | 0.0 inch.,22
"January 24, 2020",28,,,,1.0 mm | 0.0 inch.,23
"January 25, 2020",28,,,,1.7 mm | 0.1 inch.,24
"January 26, 2020",28,,,,0.8 mm | 0.0 inch.,25
"January 27, 2020",28,,,,0.6 mm | 0.0 inch.,26
"January 28, 2020",28,,,,0.2 mm | 0.0 inch.,27
"January 29, 2020",29,,,,0.1 mm | 0.0 inch.,28
"January 30, 2020",28,,,,0.1 mm | 0.0 inch.,29
"January 31, 2020",28,,,,0.4 mm | 0.0 inch.,30
"February 01, 2020",31,,,,0.8 mm | 0.0 inch.,31
"February 02, 2020",34,,,,0.3 mm | 0.0 inch.,32
"February 03, 2020",36,,,,0.5 mm | 0.0 inch.,33
"February 04, 2020",32,,,,0.5 mm | 0.0 inch.,34
"February 05, 2020",32,,,,1.6 mm | 0.1 inch.,35
"February 06, 2020",32,,,,1.3 mm | 0.1 inch.,36
"February 07, 2020",37,,,,1.0 mm | 0.0 inch.,37
"February 08, 2020",32,,,,0.4 mm | 0.0 inch.,38
"February 09, 2020",37,,,,0.3 mm | 0.0 inch.,39
"February 10, 2020",36,,,,0.2 mm | 0.0 inch.,40
"February 11, 2020",33,,,,0.7 mm | 0.0 inch.,41
"February 12, 2020",34,,,,0.4 mm | 0.0 inch.,42
"February 13, 2020",31,,,,1.0 mm | 0.0 inch.,43
"February 14, 2020",29,,,,0.2 mm | 0.0 inch.,44
"February 15, 2020",33,,,,0.2 mm | 0.0 inch.,45
"February 16, 2020",36,,,,0.8 mm | 0.0 inch.,46
"February 17, 2020",35,,,,0.1 mm | 0.0 inch.,47
"February 18, 2020",34,,,,1.1 mm | 0.0 inch.,48
"February 19, 2020",33,,,,0.9 mm | 0.0 inch.,49
"February 20, 2020",33,,,,1.2 mm | 0.0 inch.,50
"February 21, 2020",34,,,,1.4 mm | 0.1 inch.,51
"February 22, 2020",34,,,,2.0 mm | 0.1 inch.,52
"February 23, 2020",37,,,,1.1 mm | 0.0 inch.,53
"February 24, 2020",32,,,,0.4 mm | 0.0 inch.,54
"February 25, 2020",39,,,,0.6 mm | 0.0 inch.,55
"February 26, 2020",34,,,,0.7 mm | 0.0 inch.,56
"February 27, 2020",34,,,,0.7 mm | 0.0 inch.,57
"February 28, 2020",34,,,,0.1 mm | 0.0 inch.,58
"February 29, 2020",34,,,,0.1 mm | 0.0 inch.,59
"March 01, 2020",29,,,,1.0 mm | 0.0 inch.,60
"March 02, 2020",29,,,,1.5 mm | 0.1 inch.,61
"March 03, 2020",30,,,,1.4 mm | 0.1 inch.,62
"March 04, 2020",30,,,,1.2 mm | 0.0 inch.,63
"March 05, 2020",29,,,,0.4 mm | 0.0 inch.,64
"March 06, 2020",29,,,,0.8 mm | 0.0 inch.,65
"March 07, 2020",31,,,,1.4 mm | 0.1 inch.,66
"March 08, 2020",30,,,,1.1 mm | 0.0 inch.,67
"March 09, 2020",31,,,,0.5 mm | 0.0 inch.,68
"March 10, 2020",31,,,,0.1 mm | 0.0 inch.,69
"March 11, 2020",31,,,,0.3 mm | 0.0 inch.,70
"March 12, 2020",32,,,,0.6 mm | 0.0 inch.,71
"March 13, 2020",31,,,,0.7 mm | 0.0 inch.,72
"March 14, 2020",30,,,,0.8 mm | 0.0 inch.,73
